Title,Author,Rating
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5
Pride and Prejudice,Jane Austen,4.29
To Kill a Mockingbird,Harper Lee,4.26
The Book Thief,Markus Zusak,4.39
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.65
Animal Farm,George Orwell,3.99
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.27
The Fault in Our Stars,John Green,4.14
The Picture of Dorian Gray,Oscar Wilde,4.12
The Giving Tree,Shel Silverstein,4.38
Gone with the Wind,Margaret Mitchell,4.31
Wuthering Heights,Emily Brontë,3.89
The Perks of Being a Wallflower,Stephen Chbosky,4.23
Jane Eyre,Charlotte Brontë,4.15
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31
The Great Gatsby,F. Scott Fitzgerald,3.93
The Little Prince,Antoine de Saint-Exupéry,4.32
"The Da Vinci Code (Robert Langdon, #2)",Dan       Brown,3.91
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06
Crime and Punishment,Fyodor Dostoevsky,4.27
"Divergent (Divergent, #1)",Veronica Roth,4.14
Memoirs of a Geisha,Arthur Golden,4.15
Les Misérables,Victor Hugo,4.2
The Alchemist,Paulo Coelho,3.91
Lord of the Flies,William Golding,3.69
Romeo and Juliet,William Shakespeare,3.74
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.31
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.23
The Help,Kathryn Stockett,4.47
Dracula,Bram Stoker,4.01
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31
Charlotte’s Web,E.B. White,4.2
Of Mice and Men,John Steinbeck,3.88
Fahrenheit 451,Ray Bradbury,3.97
The Catcher in the Rye,J.D. Salinger,3.8
Brave New World,Aldous Huxley,3.99
One Hundred Years of Solitude,Gabriel García Márquez,4.11
A Thousand Splendid Suns,Khaled Hosseini,4.43
The Time Traveler’s Wife,Audrey Niffenegger,3.99
The Princess Bride,William Goldman,4.27
The Secret Garden,Frances Hodgson Burnett,4.16
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44
The Outsiders,S.E. Hinton,4.13
Little Women,Louisa May Alcott,4.15
1984,George Orwell,4.19
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.98
The Odyssey,Homer,3.81
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.87
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62
The Kite Runner,Khaled Hosseini,4.34
"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,4.47
"The Giver (The Giver, #1)",Lois Lowry,4.12
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.14
The Lovely Bones,Alice Sebold,3.85
Where the Wild Things Are,Maurice Sendak,4.24
The Adventures of Huckleberry Finn,Mark Twain,3.83
Green Eggs and Ham,Dr. Seuss,4.31
Life of Pi,Yann Martel,3.94
A Tale of Two Cities,Charles Dickens,3.87
Lolita,Vladimir Nabokov,3.88
"Dune (Dune, #1)",Frank Herbert,4.27
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58
Water for Elephants,Sara Gruen,4.11
The Bell Jar,Sylvia Plath,4.05
Matilda,Roald Dahl,4.34
The Stand,Stephen King,4.35
Catch-22,Joseph Heller,3.99
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.3
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.34
"Watership Down (Watership Down, #1)",Richard  Adams,4.08
Rebecca,Daphne du Maurier,4.24
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.39
Great Expectations,Charles Dickens,3.79
"Outlander (Outlander, #1)",Diana Gabaldon,4.26
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.17
The Color Purple,Alice Walker,4.27
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2
Anna Karenina,Leo Tolstoy,4.09
My Sister’s Keeper,Jodi Picoult,4.1
The Brothers Karamazov,Fyodor Dostoevsky,4.37
A Tree Grows in Brooklyn,Betty  Smith,4.29
A Clockwork Orange,Anthony Burgess,3.99
The Road,Cormac McCarthy,4.28
And Then There Were None,Agatha Christie,4.26
To Kill a Mockingbird,Harper Lee,4.02
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.11
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.24
It,Stephen King,4.07
Siddhartha,Hermann Hesse,4.14
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.27
"The Shining (The Shining, #1)",Stephen King,4.39
The Complete Stories and Poems,Edgar Allan Poe,4.02
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,3.9
Don Quixote,Miguel de Cervantes Saavedra,4.1
The Poisonwood Bible,Barbara Kingsolver,3.8
